Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
72,-95.448417,0,0,0,0,0,0,0,0,-3.8005599,-1.6371432,0,0,0,0,0,-4.6333202,-46.018097,-45.699445,0,0,0,0,0,-0.10143666,-2.3028977,0,0,0,0,0,0,0,0,0
73,-95.439919,0,0,0,0,0,0,0,0,-3.8002215,-1.6369975,0,0,0,0,0,-4.6329077,-46.014,-45.695376,0,0,0,0,0,-0.10142763,-2.3026927,0,0,0,0,0,0,0,0,0
74,-95.431422,0,0,0,0,0,0,0,0,-3.7998832,-1.6368517,0,0,0,0,0,-4.6324952,-46.009903,-45.691307,0,0,0,0,0,-0.1014186,-2.3024877,0,0,0,0,0,0,0,0,0
75,-95.422924,0,0,0,0,0,0,0,0,-3.7995448,-1.636706,0,0,0,0,0,-4.6320827,-46.005806,-45.687239,0,0,0,0,0,-0.10140957,-2.3022826,0,0,0,0,0,0,0,0,0
76,-95.414426,0,0,0,0,0,0,0,0,-3.7992064,-1.6365602,0,0,0,0,0,-4.6316702,-46.001709,-45.68317,0,0,0,0,0,-0.10140054,-2.3020776,0,0,0,0,0,0,0,0,0
77,-95.405929,0,0,0,0,0,0,0,0,-3.7988681,-1.6364145,0,0,0,0,0,-4.6312577,-45.997612,-45.679102,0,0,0,0,0,-0.10139151,-2.3018726,0,0,0,0,0,0,0,0,0
78,-95.397431,0,0,0,0,0,0,0,0,-3.7985297,-1.6362687,0,0,0,0,0,-4.6308452,-45.993515,-45.675033,0,0,0,0,0,-0.10138247,-2.3016676,0,0,0,0,0,0,0,0,0
79,-95.388933,0,0,0,0,0,0,0,0,-3.7981914,-1.636123,0,0,0,0,0,-4.6304327,-45.989418,-45.670965,0,0,0,0,0,-0.10137344,-2.3014625,0,0,0,0,0,0,0,0,0
80,-95.380435,0,0,0,0,0,0,0,0,-3.797853,-1.6359772,0,0,0,0,0,-4.6300202,-45.985321,-45.666896,0,0,0,0,0,-0.10136441,-2.3012575,0,0,0,0,0,0,0,0,0
81,-95.371938,0,0,0,0,0,0,0,0,-3.7975146,-1.6358315,0,0,0,0,0,-4.6296077,-45.981224,-45.662827,0,0,0,0,0,-0.10135538,-2.3010525,0,0,0,0,0,0,0,0,0
