Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa)
43,11.846077,0,0.12021606,0.37878146,0.43970472,0.87736379,0.67410909,0,0,0.16339727,0.64416605,2.5592377,4.1305846,0.74782257,0,0,0.045311851,0.52626261,1.2115429,1.6473781,0.55587787,0,0,0,0,0.0065883071,0.24707064,0.095005865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,12.017307,0,0.12195373,0.38425655,0.44606043,0.89004565,0.68385301,0,0,0.1657591,0.65347716,2.5962302,4.1902902,0.75863198,0,0,0.045966812,0.53386947,1.2290552,1.6711901,0.56391281,0,0,0,0,0.0066835378,0.25064192,0.096379127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,12.188536,0,0.12369139,0.38973165,0.45241615,0.90272752,0.69359692,0,0,0.16812093,0.66278826,2.6332227,4.2499958,0.76944138,0,0,0.046621772,0.54147634,1.2465674,1.6950021,0.57194775,0,0,0,0,0.0067787685,0.2542132,0.09775239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,12.359765,0,0.12542906,0.39520675,0.45877186,0.91540938,0.70334083,0,0,0.17048275,0.67209936,2.6702152,4.3097013,0.78025079,0,0,0.047276733,0.5490832,1.2640797,1.7188142,0.57998269,0,0,0,0,0.0068739992,0.25778449,0.099125653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12.530994,0,0.12716672,0.40068185,0.46512758,0.92809124,0.71308475,0,0,0.17284458,0.68141046,2.7072077,4.3694069,0.7910602,0,0,0.047931693,0.55669007,1.281592,1.7426262,0.58801763,0,0,0,0,0.00696923,0.26135577,0.10049892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12.702224,0,0.12890438,0.40615695,0.47148329,0.9407731,0.72282866,0,0,0.17520641,0.69072157,2.7442003,4.4291125,0.8018696,0,0,0.048586653,0.56429694,1.2991042,1.7664382,0.59605257,0,0,0,0,0.0070644607,0.26492706,0.10187218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,12.873453,0,0.13064205,0.41163205,0.47783901,0.95345496,0.73257258,0,0,0.17756823,0.70003267,2.7811928,4.488818,0.81267901,0,0,0.049241614,0.5719038,1.3166165,1.7902503,0.60408751,0,0,0,0,0.0071596914,0.26849834,0.10324544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,13.044682,0,0.13237971,0.41710715,0.48419472,0.96613682,0.74231649,0,0,0.17993006,0.70934377,2.8181853,4.5485236,0.82348842,0,0,0.049896574,0.57951067,1.3341287,1.8140623,0.61212245,0,0,0,0,0.0072549222,0.27206963,0.1046187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,13.215911,0,0.13411738,0.42258225,0.49055044,0.97881868,0.75206041,0,0,0.18229189,0.71865487,2.8551778,4.6082291,0.83429782,0,0,0.050551535,0.58711754,1.351641,1.8378744,0.62015739,0,0,0,0,0.0073501529,0.27564091,0.10599197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,13.38714,0,0.13585504,0.42805735,0.49690615,0.99150054,0.76180432,0,0,0.18465371,0.72796598,2.8921703,4.6679347,0.84510723,0,0,0.051206495,0.5947244,1.3691532,1.8616864,0.62819233,0,0,0,0,0.0074453836,0.27921219,0.10736523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
