Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
41,-1.1813081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013621849,-0.13679562,-0.17172567,-0.036379138,0,0,0,0,0,0,0,0,-0.33572632,-1.0515875,-0.18363535,-0.0035700636,0,0,0,0,0,0,-0.066441653,-0.0011903532,0,0,0,0,0,0,0,0,0
42,-1.0907627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012577755,-0.12631044,-0.15856316,-0.033590733,0,0,0,0,0,0,0,0,-0.30999341,-0.97098493,-0.16955998,-0.0032964238,0,0,0,0,0,0,-0.061349003,-0.0010991145,0,0,0,0,0,0,0,0,0
43,-1.0002172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011533661,-0.11582527,-0.14540065,-0.030802328,0,0,0,0,0,0,0,0,-0.2842605,-0.89038237,-0.15548462,-0.0030227839,0,0,0,0,0,0,-0.056256352,-0.0010078758,0,0,0,0,0,0,0,0,0
44,-0.90967179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010489568,-0.1053401,-0.13223814,-0.028013923,0,0,0,0,0,0,0,0,-0.2585276,-0.80977981,-0.14140925,-0.002749144,0,0,0,0,0,0,-0.051163702,-0.00091663701,0,0,0,0,0,0,0,0,0
45,-0.81912634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0094454739,-0.094854923,-0.11907563,-0.025225518,0,0,0,0,0,0,0,0,-0.23279469,-0.72917724,-0.12733388,-0.0024755041,0,0,0,0,0,0,-0.046071051,-0.00082539827,0,0,0,0,0,0,0,0,0
46,-0.72858089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0084013801,-0.08436975,-0.10591313,-0.022437114,0,0,0,0,0,0,0,0,-0.20706179,-0.64857468,-0.11325852,-0.0022018642,0,0,0,0,0,0,-0.040978401,-0.00073415953,0,0,0,0,0,0,0,0,0
47,-0.63803544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0073572864,-0.073884576,-0.092750618,-0.019648709,0,0,0,0,0,0,0,0,-0.18132888,-0.56797212,-0.099183149,-0.0019282243,0,0,0,0,0,0,-0.035885751,-0.00064292078,0,0,0,0,0,0,0,0,0
48,-0.54748999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0063131926,-0.063399403,-0.07958811,-0.016860304,0,0,0,0,0,0,0,0,-0.15559598,-0.48736956,-0.085107782,-0.0016545845,0,0,0,0,0,0,-0.0307931,-0.00055168204,0,0,0,0,0,0,0,0,0
49,-0.45694454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0052690989,-0.05291423,-0.066425602,-0.014071899,0,0,0,0,0,0,0,0,-0.12986307,-0.40676699,-0.071032415,-0.0013809446,0,0,0,0,0,0,-0.02570045,-0.0004604433,0,0,0,0,0,0,0,0,0
50,-0.36639909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0042250052,-0.042429056,-0.053263095,-0.011283494,0,0,0,0,0,0,0,0,-0.10413017,-0.32616443,-0.056957048,-0.0011073047,0,0,0,0,0,0,-0.020607799,-0.00036920455,0,0,0,0,0,0,0,0,0
51,-0.27585364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031809114,-0.031943883,-0.040100587,-0.0084950889,0,0,0,0,0,0,0,0,-0.078397263,-0.24556187,-0.042881681,-0.00083366482,0,0,0,0,0,0,-0.015515149,-0.00027796581,0,0,0,0,0,0,0,0,0
52,-0.18530819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021368177,-0.021458709,-0.026938079,-0.0057066839,0,0,0,0,0,0,0,0,-0.052664358,-0.16495931,-0.028806315,-0.00056002494,0,0,0,0,0,0,-0.010422499,-0.00018672707,0,0,0,0,0,0,0,0,0
53,-0.094762738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010927239,-0.010973536,-0.013775571,-0.002918279,0,0,0,0,0,0,0,0,-0.026931453,-0.084356745,-0.014730948,-0.00028638506,0,0,0,0,0,0,-0.0053298481,-9.5488322e-05,0,0,0,0,0,0,0,0,0
54,-0.0042172873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8630199e-05,-0.00048836235,-0.00061306313,-0.00012987405,0,0,0,0,0,0,0,0,-0.0011985478,-0.0037541827,-0.00065558087,-1.2745179e-05,0,0,0,0,0,0,-0.00023719767,-4.2495784e-06,0,0,0,0,0,0,0,0,0
55,0.086328163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099546354,0.0099968111,0.012549445,0.0026585309,0,0,0,0,0,0,0,0,0.024534357,0.07684838,0.013419786,0.0002608947,0,0,0,0,0,0,0.0048554528,8.6989165e-05,0,0,0,0,0,0,0,0,0
