Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa)
124,-3.3173866,0,0,0,0,-0.16203225,-0.021528573,0,0,0,-1.2281629,-0.23045084,0,0,0,0,0,0,-0.022708411
125,-3.3270066,0,0,0,0,-0.16250213,-0.021591003,0,0,0,-1.2317245,-0.23111913,0,0,0,0,0,0,-0.022774263
126,-3.3249451,0,0,0,0,-0.16240144,-0.021577625,0,0,0,-1.2309613,-0.23097592,0,0,0,0,0,0,-0.022760152
127,-3.3228836,0,0,0,0,-0.16230075,-0.021564247,0,0,0,-1.2301981,-0.23083271,0,0,0,0,0,0,-0.02274604
128,-3.3208221,0,0,0,0,-0.16220006,-0.021550868,0,0,0,-1.2294348,-0.2306895,0,0,0,0,0,0,-0.022731929
129,-3.3187606,0,0,0,0,-0.16209937,-0.02153749,0,0,0,-1.2286716,-0.23054629,0,0,0,0,0,0,-0.022717817
130,-3.3166991,0,0,0,0,-0.16199868,-0.021524111,0,0,0,-1.2279084,-0.23040309,0,0,0,0,0,0,-0.022703705
131,-3.3146376,0,0,0,0,-0.16189798,-0.021510733,0,0,0,-1.2271452,-0.23025988,0,0,0,0,0,0,-0.022689594
132,-3.312576,0,0,0,0,-0.16179729,-0.021497354,0,0,0,-1.226382,-0.23011667,0,0,0,0,0,0,-0.022675482
133,-3.3105145,0,0,0,0,-0.1616966,-0.021483976,0,0,0,-1.2256188,-0.22997346,0,0,0,0,0,0,-0.02266137
134,-3.308453,0,0,0,0,-0.16159591,-0.021470598,0,0,0,-1.2248556,-0.22983025,0,0,0,0,0,0,-0.022647259
135,-3.3063915,0,0,0,0,-0.16149522,-0.021457219,0,0,0,-1.2240923,-0.22968704,0,0,0,0,0,0,-0.022633147
136,-3.30433,0,0,0,0,-0.16139453,-0.021443841,0,0,0,-1.2233291,-0.22954384,0,0,0,0,0,0,-0.022619036
137,-3.3022685,0,0,0,0,-0.16129384,-0.021430462,0,0,0,-1.2225659,-0.22940063,0,0,0,0,0,0,-0.022604924
138,-3.300207,0,0,0,0,-0.16119315,-0.021417084,0,0,0,-1.2218027,-0.22925742,0,0,0,0,0,0,-0.022590812
139,-3.2981455,0,0,0,0,-0.16109245,-0.021403705,0,0,0,-1.2210395,-0.22911421,0,0,0,0,0,0,-0.022576701
140,-3.2960839,0,0,0,0,-0.16099176,-0.021390327,0,0,0,-1.2202763,-0.228971,0,0,0,0,0,0,-0.022562589
141,-3.2940224,0,0,0,0,-0.16089107,-0.021376948,0,0,0,-1.2195131,-0.22882779,0,0,0,0,0,0,-0.022548477
142,-3.2919609,0,0,0,0,-0.16079038,-0.02136357,0,0,0,-1.2187498,-0.22868459,0,0,0,0,0,0,-0.022534366
143,-3.2898994,0,0,0,0,-0.16068969,-0.021350192,0,0,0,-1.2179866,-0.22854138,0,0,0,0,0,0,-0.022520254
144,-3.2878379,0,0,0,0,-0.160589,-0.021336813,0,0,0,-1.2172234,-0.22839817,0,0,0,0,0,0,-0.022506143
145,-3.2857764,0,0,0,0,-0.16048831,-0.021323435,0,0,0,-1.2164602,-0.22825496,0,0,0,0,0,0,-0.022492031
146,-3.2837149,0,0,0,0,-0.16038762,-0.021310056,0,0,0,-1.215697,-0.22811175,0,0,0,0,0,0,-0.022477919
147,-3.2816533,0,0,0,0,-0.16028692,-0.021296678,0,0,0,-1.2149338,-0.22796854,0,0,0,0,0,0,-0.022463808
148,-3.2795918,0,0,0,0,-0.16018623,-0.021283299,0,0,0,-1.2141706,-0.22782534,0,0,0,0,0,0,-0.022449696
149,-3.2775303,0,0,0,0,-0.16008554,-0.021269921,0,0,0,-1.2134074,-0.22768213,0,0,0,0,0,0,-0.022435585
150,-3.2754688,0,0,0,0,-0.15998485,-0.021256543,0,0,0,-1.2126441,-0.22753892,0,0,0,0,0,0,-0.022421473
151,-3.2734073,0,0,0,0,-0.15988416,-0.021243164,0,0,0,-1.2118809,-0.22739571,0,0,0,0,0,0,-0.022407361
152,-3.2713458,0,0,0,0,-0.15978347,-0.021229786,0,0,0,-1.2111177,-0.2272525,0,0,0,0,0,0,-0.02239325
153,-3.2692843,0,0,0,0,-0.15968278,-0.021216407,0,0,0,-1.2103545,-0.22710929,0,0,0,0,0,0,-0.022379138
154,-3.2672228,0,0,0,0,-0.15958209,-0.021203029,0,0,0,-1.2095913,-0.22696609,0,0,0,0,0,0,-0.022365026
155,-3.2651612,0,0,0,0,-0.1594814,-0.02118965,0,0,0,-1.2088281,-0.22682288,0,0,0,0,0,0,-0.022350915
156,-3.2630997,0,0,0,0,-0.1593807,-0.021176272,0,0,0,-1.2080649,-0.22667967,0,0,0,0,0,0,-0.022336803
157,-3.2610382,0,0,0,0,-0.15928001,-0.021162894,0,0,0,-1.2073016,-0.22653646,0,0,0,0,0,0,-0.022322692
158,-3.2589767,0,0,0,0,-0.15917932,-0.021149515,0,0,0,-1.2065384,-0.22639325,0,0,0,0,0,0,-0.02230858
159,-3.2569152,0,0,0,0,-0.15907863,-0.021136137,0,0,0,-1.2057752,-0.22625004,0,0,0,0,0,0,-0.022294468
160,-3.2548537,0,0,0,0,-0.15897794,-0.021122758,0,0,0,-1.205012,-0.22610684,0,0,0,0,0,0,-0.022280357
161,-3.2527922,0,0,0,0,-0.15887725,-0.02110938,0,0,0,-1.2042488,-0.22596363,0,0,0,0,0,0,-0.022266245
162,-3.2507306,0,0,0,0,-0.15877656,-0.021096001,0,0,0,-1.2034856,-0.22582042,0,0,0,0,0,0,-0.022252133
163,-3.2486691,0,0,0,0,-0.15867587,-0.021082623,0,0,0,-1.2027224,-0.22567721,0,0,0,0,0,0,-0.022238022
164,-3.2466076,0,0,0,0,-0.15857517,-0.021069244,0,0,0,-1.2019591,-0.225534,0,0,0,0,0,0,-0.02222391
165,-3.2445461,0,0,0,0,-0.15847448,-0.021055866,0,0,0,-1.2011959,-0.22539079,0,0,0,0,0,0,-0.022209799
