Time (ms),Stress at 0.00 mm (kPa),Stress at 0.33 mm (kPa),Stress at 0.54 mm (kPa),Stress at 0.68 mm (kPa),Stress at 0.89 mm (kPa),Stress at 1.12 mm (kPa),Stress at 1.32 mm (kPa),Stress at 1.52 mm (kPa),Stress at 1.70 mm (kPa),Stress at 1.89 mm (kPa),Stress at 2.11 mm (kPa),Stress at 2.31 mm (kPa),Stress at 2.52 mm (kPa),Stress at 2.70 mm (kPa),Stress at 2.90 mm (kPa),Stress at 3.10 mm (kPa),Stress at 3.30 mm (kPa),Stress at 3.49 mm (kPa),Stress at 3.68 mm (kPa),Stress at 3.90 mm (kPa),Stress at 4.10 mm (kPa),Stress at 4.32 mm (kPa),Stress at 4.51 mm (kPa),Stress at 4.71 mm (kPa),Stress at 4.90 mm (kPa)
53,-2.7649352,-2.1625708,-1.8238405,-1.4980197,-1.2291413,-0.98477273,-0.7317345,-0.60907017,-0.49980504,-0.42193389,-0.33297793,-0.30307806,-0.23611297,-0.19555831,-0.19169872,-0.17183503,-0.13936756,-0.11245814,-0.10876055,-0.11103913,-0.091248693,-0.082029353,-0.059504581,-0.048764565,-0.030020273
54,-2.3997515,-1.8769455,-1.5829535,-1.3001662,-1.0668003,-0.85470713,-0.63508938,-0.52862616,-0.43379241,-0.36620623,-0.28899928,-0.26304849,-0.20492794,-0.1697296,-0.16637978,-0.14913962,-0.12096034,-0.097605031,-0.094395811,-0.096373443,-0.079196861,-0.071195182,-0.051645409,-0.0423239,-0.026055292
55,-2.0345678,-1.5913201,-1.3420666,-1.1023126,-0.90445933,-0.72464154,-0.53844425,-0.44818214,-0.36777978,-0.31047857,-0.24502064,-0.22301892,-0.1737429,-0.14390089,-0.14106083,-0.1264442,-0.10255313,-0.082751925,-0.08003107,-0.081707754,-0.067145029,-0.060361011,-0.043786236,-0.035883234,-0.022090312
56,-1.6693841,-1.3056948,-1.1011797,-0.90445896,-0.74211832,-0.59457595,-0.44179913,-0.36773813,-0.30176715,-0.2547509,-0.20104199,-0.18298935,-0.14255786,-0.11807218,-0.11574188,-0.10374879,-0.084145913,-0.067898818,-0.065666328,-0.067042065,-0.055093197,-0.04952684,-0.035927064,-0.029442568,-0.018125331
57,-1.3042004,-1.0200694,-0.86029271,-0.70660536,-0.57977732,-0.46451036,-0.34515401,-0.28729411,-0.23575452,-0.19902324,-0.15706334,-0.14295979,-0.11137283,-0.092243475,-0.090422937,-0.081053374,-0.065738697,-0.053045712,-0.051301587,-0.052376377,-0.043041366,-0.038692668,-0.028067892,-0.023001902,-0.014160351
58,-0.93901676,-0.73444408,-0.61940577,-0.50875177,-0.41743631,-0.33444477,-0.24850889,-0.20685009,-0.16974189,-0.14329558,-0.1130847,-0.10293022,-0.080187789,-0.066414768,-0.065103991,-0.05835796,-0.047331481,-0.038192605,-0.036936845,-0.037710688,-0.030989534,-0.027858497,-0.020208719,-0.016561236,-0.010195371
59,-0.57383308,-0.44881873,-0.37851882,-0.31089817,-0.2550953,-0.20437918,-0.15186377,-0.12640608,-0.10372926,-0.087567921,-0.069106052,-0.062900649,-0.049002753,-0.04058606,-0.039785045,-0.035662546,-0.028924265,-0.023339498,-0.022572104,-0.023044999,-0.018937702,-0.017024326,-0.012349547,-0.01012057,-0.0062303904
60,-0.2086494,-0.16319338,-0.13763188,-0.11304458,-0.092754294,-0.074313584,-0.055218643,-0.045962064,-0.037716625,-0.03184026,-0.025127405,-0.022871081,-0.017817716,-0.014757353,-0.014466098,-0.012967131,-0.010517049,-0.0084863919,-0.0082073622,-0.0083793099,-0.0068858704,-0.0061901544,-0.0044903749,-0.0036799046,-0.0022654101
61,0.15653428,0.12243197,0.10325506,0.084809018,0.069586714,0.055752007,0.04142648,0.034481951,0.028296005,0.023887401,0.018851241,0.017158487,0.01336732,0.011071355,0.010852848,0.0097282832,0.007890167,0.0063667147,0.0061573792,0.0062863789,0.0051659613,0.0046440168,0.0033687974,0.0027607613,0.0016995703
62,0.52171796,0.40805732,0.344142,0.28266261,0.23192772,0.1858176,0.1380716,0.11492597,0.094308636,0.079615062,0.062829887,0.057188055,0.044552356,0.036900062,0.036171794,0.032423698,0.026297383,0.021219821,0.020522121,0.020952068,0.017217793,0.015478188,0.01122797,0.0092014271,0.0056645506
