Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa)
54,-13.52015,0,0,0,0,0,-2.6198798,-0.21422194,0,0,0,0,-23.158619,-4.1054612,0,0,-0.50912719,-4.1669112,-6.6721474,-1.3790562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,-13.531553,0,0,0,0,0,-2.6220894,-0.21440262,0,0,0,0,-23.17815,-4.1089237,0,0,-0.50955658,-4.1704256,-6.6777746,-1.3802192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-13.542956,0,0,0,0,0,-2.624299,-0.21458329,0,0,0,0,-23.197682,-4.1123862,0,0,-0.50998597,-4.1739399,-6.6834018,-1.3813823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,-13.554359,0,0,0,0,0,-2.6265085,-0.21476396,0,0,0,0,-23.217214,-4.1158487,0,0,-0.51041537,-4.1774542,-6.6890291,-1.3825454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,-13.565761,0,0,0,0,0,-2.6287181,-0.21494463,0,0,0,0,-23.236746,-4.1193112,0,0,-0.51084476,-4.1809686,-6.6946563,-1.3837085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,-13.577164,0,0,0,0,0,-2.6309277,-0.21512531,0,0,0,0,-23.256277,-4.1227737,0,0,-0.51127415,-4.1844829,-6.7002835,-1.3848716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,-13.588567,0,0,0,0,0,-2.6331373,-0.21530598,0,0,0,0,-23.275809,-4.1262362,0,0,-0.51170355,-4.1879972,-6.7059107,-1.3860347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,-13.59997,0,0,0,0,0,-2.6353469,-0.21548665,0,0,0,0,-23.295341,-4.1296987,0,0,-0.51213294,-4.1915116,-6.711538,-1.3871977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,-13.611372,0,0,0,0,0,-2.6375564,-0.21566733,0,0,0,0,-23.314873,-4.1331612,0,0,-0.51256233,-4.1950259,-6.7171652,-1.3883608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,-13.622775,0,0,0,0,0,-2.639766,-0.215848,0,0,0,0,-23.334404,-4.1366237,0,0,-0.51299172,-4.1985402,-6.7227924,-1.3895239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,-13.634178,0,0,0,0,0,-2.6419756,-0.21602867,0,0,0,0,-23.353936,-4.1400862,0,0,-0.51342112,-4.2020545,-6.7284196,-1.390687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,-13.645581,0,0,0,0,0,-2.6441852,-0.21620934,0,0,0,0,-23.373468,-4.1435488,0,0,-0.51385051,-4.2055689,-6.7340468,-1.3918501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-13.656983,0,0,0,0,0,-2.6463948,-0.21639002,0,0,0,0,-23.393,-4.1470113,0,0,-0.5142799,-4.2090832,-6.7396741,-1.3930131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-13.668386,0,0,0,0,0,-2.6486043,-0.21657069,0,0,0,0,-23.412531,-4.1504738,0,0,-0.5147093,-4.2125975,-6.7453013,-1.3941762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,-13.679789,0,0,0,0,0,-2.6508139,-0.21675136,0,0,0,0,-23.432063,-4.1539363,0,0,-0.51513869,-4.2161119,-6.7509285,-1.3953393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,-13.691192,0,0,0,0,0,-2.6530235,-0.21693203,0,0,0,0,-23.451595,-4.1573988,0,0,-0.51556808,-4.2196262,-6.7565557,-1.3965024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,-13.702595,0,0,0,0,0,-2.6552331,-0.21711271,0,0,0,0,-23.471127,-4.1608613,0,0,-0.51599747,-4.2231405,-6.762183,-1.3976655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,-13.713997,0,0,0,0,0,-2.6574427,-0.21729338,0,0,0,0,-23.490658,-4.1643238,0,0,-0.51642687,-4.2266549,-6.7678102,-1.3988286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,-13.7254,0,0,0,0,0,-2.6596522,-0.21747405,0,0,0,0,-23.51019,-4.1677863,0,0,-0.51685626,-4.2301692,-6.7734374,-1.3999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,-13.736803,0,0,0,0,0,-2.6618618,-0.21765473,0,0,0,0,-23.529722,-4.1712488,0,0,-0.51728565,-4.2336835,-6.7790646,-1.4011547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,-13.748206,0,0,0,0,0,-2.6640714,-0.2178354,0,0,0,0,-23.549254,-4.1747113,0,0,-0.51771505,-4.2371979,-6.7846919,-1.4023178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,-13.759608,0,0,0,0,0,-2.666281,-0.21801607,0,0,0,0,-23.568785,-4.1781738,0,0,-0.51814444,-4.2407122,-6.7903191,-1.4034809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,-13.771011,0,0,0,0,0,-2.6684906,-0.21819674,0,0,0,0,-23.588317,-4.1816363,0,0,-0.51857383,-4.2442265,-6.7959463,-1.404644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,-13.782414,0,0,0,0,0,-2.6707002,-0.21837742,0,0,0,0,-23.607849,-4.1850988,0,0,-0.51900322,-4.2477409,-6.8015735,-1.4058071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,-13.793817,0,0,0,0,0,-2.6729097,-0.21855809,0,0,0,0,-23.627381,-4.1885613,0,0,-0.51943262,-4.2512552,-6.8072008,-1.4069701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,-13.805219,0,0,0,0,0,-2.6751193,-0.21873876,0,0,0,0,-23.646912,-4.1920238,0,0,-0.51986201,-4.2547695,-6.812828,-1.4081332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-13.816622,0,0,0,0,0,-2.6773289,-0.21891943,0,0,0,0,-23.666444,-4.1954863,0,0,-0.5202914,-4.2582839,-6.8184552,-1.4092963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,-13.828025,0,0,0,0,0,-2.6795385,-0.21910011,0,0,0,0,-23.685976,-4.1989488,0,0,-0.5207208,-4.2617982,-6.8240824,-1.4104594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,-13.839428,0,0,0,0,0,-2.6817481,-0.21928078,0,0,0,0,-23.705508,-4.2024113,0,0,-0.52115019,-4.2653125,-6.8297096,-1.4116225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,-13.85083,0,0,0,0,0,-2.6839576,-0.21946145,0,0,0,0,-23.725039,-4.2058739,0,0,-0.52157958,-4.2688269,-6.8353369,-1.4127855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,-13.862233,0,0,0,0,0,-2.6861672,-0.21964212,0,0,0,0,-23.744571,-4.2093364,0,0,-0.52200897,-4.2723412,-6.8409641,-1.4139486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,-13.873636,0,0,0,0,0,-2.6883768,-0.2198228,0,0,0,0,-23.764103,-4.2127989,0,0,-0.52243837,-4.2758555,-6.8465913,-1.4151117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,-13.885039,0,0,0,0,0,-2.6905864,-0.22000347,0,0,0,0,-23.783635,-4.2162614,0,0,-0.52286776,-4.2793699,-6.8522185,-1.4162748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,-13.896441,0,0,0,0,0,-2.692796,-0.22018414,0,0,0,0,-23.803166,-4.2197239,0,0,-0.52329715,-4.2828842,-6.8578458,-1.4174379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,-13.907844,0,0,0,0,0,-2.6950055,-0.22036482,0,0,0,0,-23.822698,-4.2231864,0,0,-0.52372655,-4.2863985,-6.863473,-1.418601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,-13.919247,0,0,0,0,0,-2.6972151,-0.22054549,0,0,0,0,-23.84223,-4.2266489,0,0,-0.52415594,-4.2899128,-6.8691002,-1.419764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,-13.93065,0,0,0,0,0,-2.6994247,-0.22072616,0,0,0,0,-23.861762,-4.2301114,0,0,-0.52458533,-4.2934272,-6.8747274,-1.4209271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,-13.942053,0,0,0,0,0,-2.7016343,-0.22090683,0,0,0,0,-23.881293,-4.2335739,0,0,-0.52501472,-4.2969415,-6.8803547,-1.4220902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,-13.953455,0,0,0,0,0,-2.7038439,-0.22108751,0,0,0,0,-23.900825,-4.2370364,0,0,-0.52544412,-4.3004558,-6.8859819,-1.4232533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,-13.964858,0,0,0,0,0,-2.7060534,-0.22126818,0,0,0,0,-23.920357,-4.2404989,0,0,-0.52587351,-4.3039702,-6.8916091,-1.4244164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,-13.976261,0,0,0,0,0,-2.708263,-0.22144885,0,0,0,0,-23.939889,-4.2439614,0,0,-0.5263029,-4.3074845,-6.8972363,-1.4255795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
