Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
190,-6.4216914,0,0,0,0,-2.4199298,-3.5845866,0,0,0,0,0
191,-6.4349512,0,0,0,0,-2.4249266,-3.5919883,0,0,0,0,0
192,-6.448211,0,0,0,0,-2.4299234,-3.5993899,0,0,0,0,0
193,-6.4614708,0,0,0,0,-2.4349202,-3.6067915,0,0,0,0,0
194,-6.4747307,0,0,0,0,-2.439917,-3.6141932,0,0,0,0,0
195,-6.4879905,0,0,0,0,-2.4449138,-3.6215948,0,0,0,0,0
196,-6.5012503,0,0,0,0,-2.4499106,-3.6289964,0,0,0,0,0
197,-6.5145102,0,0,0,0,-2.4549074,-3.6363981,0,0,0,0,0
198,-6.52777,0,0,0,0,-2.4599042,-3.6437997,0,0,0,0,0
199,-6.5410298,0,0,0,0,-2.464901,-3.6512013,0,0,0,0,0
200,-6.5542896,0,0,0,0,-2.4698978,-3.658603,0,0,0,0,0
201,-6.5675495,0,0,0,0,-2.4748946,-3.6660046,0,0,0,0,0
202,-6.5808093,0,0,0,0,-2.4798914,-3.6734062,0,0,0,0,0
203,-6.5940691,0,0,0,0,-2.4848881,-3.6808079,0,0,0,0,0
204,-6.607329,0,0,0,0,-2.4898849,-3.6882095,0,0,0,0,0
205,-6.6205888,0,0,0,0,-2.4948817,-3.6956111,0,0,0,0,0
206,-6.6338486,0,0,0,0,-2.4998785,-3.7030128,0,0,0,0,0
207,-6.6471084,0,0,0,0,-2.5048753,-3.7104144,0,0,0,0,0
208,-6.6603683,0,0,0,0,-2.5098721,-3.717816,0,0,0,0,0
209,-6.6736281,0,0,0,0,-2.5148689,-3.7252177,0,0,0,0,0
210,-6.6868879,0,0,0,0,-2.5198657,-3.7326193,0,0,0,0,0
211,-6.7001478,0,0,0,0,-2.5248625,-3.7400209,0,0,0,0,0
212,-6.7134076,0,0,0,0,-2.5298593,-3.7474226,0,0,0,0,0
