Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
415.08302,73.379933,99.735558,47.024307
416.08322,73.86706,100.22101,47.51311
417.08342,74.354187,100.70691,48.001461
418.08362,74.851997,101.20706,48.496937
419.08382,75.467024,101.85871,49.075335
420.08402,76.082051,102.51037,49.653728
421.08422,76.697078,103.16204,50.232117
422.08442,77.312105,103.81371,50.810501
423.08462,77.927132,104.46538,51.38888
424.08482,78.54216,105.11706,51.967255
425.08502,79.157187,105.76875,52.545626
426.08522,79.772214,106.42044,53.123991
427.08542,80.387241,107.07213,53.702353
428.08562,81.002268,107.72383,54.28071
429.08582,81.617295,108.37553,54.859062
430.08602,82.232322,109.02723,55.43741
431.08622,82.847349,109.67894,56.015753
432.08642,83.462376,110.33066,56.594093
433.08662,84.077403,110.98238,57.172427
434.08682,84.69243,111.6341,57.750758
435.08702,85.307457,112.28583,58.329084
436.08722,85.922484,112.93756,58.907405
437.08742,86.537511,113.5893,59.485722
438.08762,87.152538,114.24104,60.064035
439.08782,87.767565,114.89279,60.642344
440.08802,88.382592,115.54454,61.220649
441.08822,88.99762,116.19629,61.798949
442.08842,89.612647,116.84805,62.377245
443.08862,90.227674,117.49981,62.955536
444.08882,90.842701,118.15158,63.533824
445.08902,91.457728,118.80335,64.112107
446.08922,92.072755,119.45512,64.690386
447.08942,92.687782,120.1069,65.268661
448.08962,93.302809,120.75869,65.846932
449.08982,93.917836,121.41047,66.425199
450.09002,94.532863,122.06226,67.003461
451.09022,95.14789,122.71406,67.58172
452.09042,95.762917,123.36586,68.159974
453.09062,96.377944,124.01766,68.738225
454.09082,96.992971,124.66947,69.316471
455.09102,97.607998,125.32128,69.894713
456.09122,98.223025,125.9731,70.472951
457.09142,98.838052,126.62492,71.051186
458.09162,99.45308,127.27674,71.629416
459.09182,100.06811,127.92857,72.207642
460.09202,100.68313,128.5804,72.785865
461.09222,101.29816,129.23224,73.364083
462.09242,101.91319,129.88408,73.942298
463.09262,102.52821,130.53592,74.520509
464.09282,103.14324,131.18777,75.098715
465.09302,103.75827,131.83962,75.676918
466.09322,104.3733,132.49147,76.255118
467.09342,104.98832,133.14333,76.833313
468.09362,105.60335,133.7952,77.411504
469.09382,106.21838,134.44706,77.989692
470.09402,106.8334,135.09893,78.567876
471.09422,107.44843,135.75081,79.146056
472.09442,108.06346,136.40268,79.724232
473.09462,108.67849,137.05457,80.302404
474.09482,109.29351,137.70645,80.880573
475.09502,109.90854,138.35834,81.458738
476.09522,110.52357,139.01023,82.0369
477.09542,111.13859,139.66213,82.615057
478.09562,111.75362,140.31403,83.193211
479.09582,112.36865,140.96593,83.771362
480.09602,112.98367,141.61784,84.349508
481.09622,113.5987,142.26975,84.927652
482.09642,114.21373,142.92167,85.505791
483.09662,114.82876,143.57359,86.083927
484.09682,115.44378,144.22551,86.662059
485.09702,116.05881,144.87743,87.240188
486.09722,116.67384,145.52936,87.818313
487.09742,117.28886,146.18129,88.396434
488.09762,117.90389,146.83323,88.974552
