Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
1747.9999,376.53481,0,0,0,0,0,0,38.539483,0,0,0,0,26.385566,134.45419,0,0,0,0,0,0
1748.9999,376.53232,0,0,0,0,0,0,38.539227,0,0,0,0,26.385391,134.4533,0,0,0,0,0,0
1749.9999,376.52983,0,0,0,0,0,0,38.538972,0,0,0,0,26.385216,134.45241,0,0,0,0,0,0
1750.9999,376.52733,0,0,0,0,0,0,38.538717,0,0,0,0,26.385041,134.45152,0,0,0,0,0,0
1751.9999,376.52484,0,0,0,0,0,0,38.538462,0,0,0,0,26.384867,134.45063,0,0,0,0,0,0
1752.9999,376.52235,0,0,0,0,0,0,38.538207,0,0,0,0,26.384692,134.44974,0,0,0,0,0,0
1753.9999,376.51985,0,0,0,0,0,0,38.537951,0,0,0,0,26.384517,134.44885,0,0,0,0,0,0
1754.9999,376.51736,0,0,0,0,0,0,38.537696,0,0,0,0,26.384342,134.44796,0,0,0,0,0,0
1755.9999,376.51487,0,0,0,0,0,0,38.537441,0,0,0,0,26.384168,134.44707,0,0,0,0,0,0
1756.9999,376.51237,0,0,0,0,0,0,38.537186,0,0,0,0,26.383993,134.44618,0,0,0,0,0,0
1757.9999,376.50988,0,0,0,0,0,0,38.53693,0,0,0,0,26.383818,134.44529,0,0,0,0,0,0
1758.9999,376.50739,0,0,0,0,0,0,38.536675,0,0,0,0,26.383643,134.4444,0,0,0,0,0,0
1759.9999,376.50489,0,0,0,0,0,0,38.53642,0,0,0,0,26.383469,134.44351,0,0,0,0,0,0
1760.9999,376.5024,0,0,0,0,0,0,38.536165,0,0,0,0,26.383294,134.44262,0,0,0,0,0,0
1761.9999,376.4999,0,0,0,0,0,0,38.53591,0,0,0,0,26.383119,134.44172,0,0,0,0,0,0
1762.9999,376.49741,0,0,0,0,0,0,38.535654,0,0,0,0,26.382945,134.44083,0,0,0,0,0,0
1763.9999,376.49492,0,0,0,0,0,0,38.535399,0,0,0,0,26.38277,134.43994,0,0,0,0,0,0
1764.9999,376.49242,0,0,0,0,0,0,38.535144,0,0,0,0,26.382595,134.43905,0,0,0,0,0,0
1765.9999,376.48993,0,0,0,0,0,0,38.534889,0,0,0,0,26.38242,134.43816,0,0,0,0,0,0
1766.9999,376.48744,0,0,0,0,0,0,38.534633,0,0,0,0,26.382246,134.43727,0,0,0,0,0,0
1767.9999,376.48494,0,0,0,0,0,0,38.534378,0,0,0,0,26.382071,134.43638,0,0,0,0,0,0
1768.9999,376.48245,0,0,0,0,0,0,38.534123,0,0,0,0,26.381896,134.43549,0,0,0,0,0,0
1769.9999,376.47996,0,0,0,0,0,0,38.533868,0,0,0,0,26.381721,134.4346,0,0,0,0,0,0
1770.9999,376.47746,0,0,0,0,0,0,38.533613,0,0,0,0,26.381547,134.43371,0,0,0,0,0,0
1771.9999,376.47497,0,0,0,0,0,0,38.533357,0,0,0,0,26.381372,134.43282,0,0,0,0,0,0
1772.9999,376.47248,0,0,0,0,0,0,38.533102,0,0,0,0,26.381197,134.43193,0,0,0,0,0,0
1773.9999,376.46998,0,0,0,0,0,0,38.532847,0,0,0,0,26.381022,134.43104,0,0,0,0,0,0
1774.9999,376.46749,0,0,0,0,0,0,38.532592,0,0,0,0,26.380848,134.43015,0,0,0,0,0,0
1775.9999,376.465,0,0,0,0,0,0,38.532337,0,0,0,0,26.380673,134.42926,0,0,0,0,0,0
1776.9999,376.4625,0,0,0,0,0,0,38.532081,0,0,0,0,26.380498,134.42837,0,0,0,0,0,0
1777.9999,376.46001,0,0,0,0,0,0,38.531826,0,0,0,0,26.380324,134.42748,0,0,0,0,0,0
1778.9999,376.45751,0,0,0,0,0,0,38.531571,0,0,0,0,26.380149,134.42659,0,0,0,0,0,0
1779.9999,376.45502,0,0,0,0,0,0,38.531316,0,0,0,0,26.379974,134.4257,0,0,0,0,0,0
1780.9999,376.45253,0,0,0,0,0,0,38.53106,0,0,0,0,26.379799,134.42481,0,0,0,0,0,0
1781.9999,376.45003,0,0,0,0,0,0,38.530805,0,0,0,0,26.379625,134.42392,0,0,0,0,0,0
1782.9999,376.44754,0,0,0,0,0,0,38.53055,0,0,0,0,26.37945,134.42303,0,0,0,0,0,0
1783.9999,376.44505,0,0,0,0,0,0,38.530295,0,0,0,0,26.379275,134.42214,0,0,0,0,0,0
1784.9999,376.44255,0,0,0,0,0,0,38.53004,0,0,0,0,26.3791,134.42125,0,0,0,0,0,0
1785.9999,376.44006,0,0,0,0,0,0,38.529784,0,0,0,0,26.378926,134.42036,0,0,0,0,0,0
1786.9999,376.43757,0,0,0,0,0,0,38.529529,0,0,0,0,26.378751,134.41946,0,0,0,0,0,0
1787.9999,376.43507,0,0,0,0,0,0,38.529274,0,0,0,0,26.378576,134.41857,0,0,0,0,0,0
1788.9999,376.43258,0,0,0,0,0,0,38.529019,0,0,0,0,26.378401,134.41768,0,0,0,0,0,0
1789.9999,376.43009,0,0,0,0,0,0,38.528763,0,0,0,0,26.378227,134.41679,0,0,0,0,0,0
1790.9999,376.42759,0,0,0,0,0,0,38.528508,0,0,0,0,26.378052,134.4159,0,0,0,0,0,0
1791.9999,376.4251,0,0,0,0,0,0,38.528253,0,0,0,0,26.377877,134.41501,0,0,0,0,0,0
1792.9999,376.42261,0,0,0,0,0,0,38.527998,0,0,0,0,26.377703,134.41412,0,0,0,0,0,0
1793.9999,376.42011,0,0,0,0,0,0,38.527743,0,0,0,0,26.377528,134.41323,0,0,0,0,0,0
1794.9999,376.41762,0,0,0,0,0,0,38.527487,0,0,0,0,26.377353,134.41234,0,0,0,0,0,0
1795.9999,376.41512,0,0,0,0,0,0,38.527232,0,0,0,0,26.377178,134.41145,0,0,0,0,0,0
1796.9999,376.41263,0,0,0,0,0,0,38.526977,0,0,0,0,26.377004,134.41056,0,0,0,0,0,0
1797.9999,376.41014,0,0,0,0,0,0,38.526722,0,0,0,0,26.376829,134.40967,0,0,0,0,0,0
1798.9999,376.40764,0,0,0,0,0,0,38.526466,0,0,0,0,26.376654,134.40878,0,0,0,0,0,0
1799.9999,376.40515,0,0,0,0,0,0,38.526211,0,0,0,0,26.376479,134.40789,0,0,0,0,0,0
1800.9999,376.40266,0,0,0,0,0,0,38.525956,0,0,0,0,26.376305,134.407,0,0,0,0,0,0
1801.9999,376.40016,0,0,0,0,0,0,38.525701,0,0,0,0,26.37613,134.40611,0,0,0,0,0,0
1802.9999,376.39767,0,0,0,0,0,0,38.525446,0,0,0,0,26.375955,134.40522,0,0,0,0,0,0
1803.9999,376.39518,0,0,0,0,0,0,38.52519,0,0,0,0,26.37578,134.40433,0,0,0,0,0,0
1804.9999,376.39268,0,0,0,0,0,0,38.524935,0,0,0,0,26.375606,134.40344,0,0,0,0,0,0
1805.9999,376.39019,0,0,0,0,0,0,38.52468,0,0,0,0,26.375431,134.40255,0,0,0,0,0,0
1806.9999,376.3877,0,0,0,0,0,0,38.524425,0,0,0,0,26.375256,134.40166,0,0,0,0,0,0
1807.9999,376.3852,0,0,0,0,0,0,38.524169,0,0,0,0,26.375082,134.40077,0,0,0,0,0,0
1808.9999,376.38271,0,0,0,0,0,0,38.523914,0,0,0,0,26.374907,134.39988,0,0,0,0,0,0
1809.9999,376.38022,0,0,0,0,0,0,38.523659,0,0,0,0,26.374732,134.39899,0,0,0,0,0,0
1810.9999,376.37772,0,0,0,0,0,0,38.523404,0,0,0,0,26.374557,134.3981,0,0,0,0,0,0
1811.9999,376.37523,0,0,0,0,0,0,38.523149,0,0,0,0,26.374383,134.3972,0,0,0,0,0,0
1812.9999,376.37372,0,0,0,0,0,0,38.522994,0,0,0,0,26.374277,134.39667,0,0,0,0,0,0
1813.9999,376.37222,0,0,0,0,0,0,38.52284,0,0,0,0,26.374172,134.39613,0,0,0,0,0,0
1814.9999,376.37071,0,0,0,0,0,0,38.522686,0,0,0,0,26.374066,134.39559,0,0,0,0,0,0
1815.9999,376.36921,0,0,0,0,0,0,38.522532,0,0,0,0,26.373961,134.39505,0,0,0,0,0,0
1816.9999,376.3677,0,0,0,0,0,0,38.522378,0,0,0,0,26.373855,134.39452,0,0,0,0,0,0
1817.9999,376.36619,0,0,0,0,0,0,38.522224,0,0,0,0,26.37375,134.39398,0,0,0,0,0,0
1818.9999,376.36469,0,0,0,0,0,0,38.52207,0,0,0,0,26.373644,134.39344,0,0,0,0,0,0
