Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
235,44.831621,0,0,0,11.117274,1.9851689,0,0,3.2367284,0.59505915,0,0,0,0
236,45.167539,0,0,0,11.200574,2.0000435,0,0,3.2609808,0.59951784,0,0,0,0
237,45.503456,0,0,0,11.283875,2.0149181,0,0,3.2852331,0.60397654,0,0,0,0
238,45.839373,0,0,0,11.367175,2.0297927,0,0,3.3094855,0.60843523,0,0,0,0
239,46.17529,0,0,0,11.450475,2.0446673,0,0,3.3337378,0.61289393,0,0,0,0
240,46.511207,0,0,0,11.533775,2.0595419,0,0,3.3579902,0.61735263,0,0,0,0
241,46.847124,0,0,0,11.617075,2.0744165,0,0,3.3822426,0.62181132,0,0,0,0
242,47.183041,0,0,0,11.700376,2.0892911,0,0,3.4064949,0.62627002,0,0,0,0
243,47.518958,0,0,0,11.783676,2.1041657,0,0,3.4307473,0.63072871,0,0,0,0
244,47.854875,0,0,0,11.866976,2.1190403,0,0,3.4549996,0.63518741,0,0,0,0
245,48.190793,0,0,0,11.950276,2.1339149,0,0,3.479252,0.6396461,0,0,0,0
246,48.52671,0,0,0,12.033576,2.1487895,0,0,3.5035043,0.6441048,0,0,0,0
247,48.862627,0,0,0,12.116877,2.1636641,0,0,3.5277567,0.6485635,0,0,0,0
248,49.198544,0,0,0,12.200177,2.1785387,0,0,3.552009,0.65302219,0,0,0,0
249,49.534461,0,0,0,12.283477,2.1934133,0,0,3.5762614,0.65748089,0,0,0,0
250,49.870378,0,0,0,12.366777,2.2082879,0,0,3.6005138,0.66193958,0,0,0,0
251,50.206295,0,0,0,12.450077,2.2231625,0,0,3.6247661,0.66639828,0,0,0,0
252,50.542212,0,0,0,12.533378,2.238037,0,0,3.6490185,0.67085697,0,0,0,0
253,50.87813,0,0,0,12.616678,2.2529116,0,0,3.6732708,0.67531567,0,0,0,0
254,51.214047,0,0,0,12.699978,2.2677862,0,0,3.6975232,0.67977436,0,0,0,0
255,51.549964,0,0,0,12.783278,2.2826608,0,0,3.7217755,0.68423306,0,0,0,0
256,51.885881,0,0,0,12.866578,2.2975354,0,0,3.7460279,0.68869176,0,0,0,0
257,52.221798,0,0,0,12.949878,2.31241,0,0,3.7702803,0.69315045,0,0,0,0
258,52.557715,0,0,0,13.033179,2.3272846,0,0,3.7945326,0.69760915,0,0,0,0
259,52.893632,0,0,0,13.116479,2.3421592,0,0,3.818785,0.70206784,0,0,0,0
260,53.229549,0,0,0,13.199779,2.3570338,0,0,3.8430373,0.70652654,0,0,0,0
