Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
94,-95.261468,0,0,0,0,0,0,0,0,-15.703672,-9.4742461,0,0,0,0,0,-17.685936,-70.121282,-69.829545,0,0,0,0,0,-1.7857046,-11.626726,0,0,0,0,0,0,0,0,0
95,-95.25297,0,0,0,0,0,0,0,0,-15.702271,-9.473401,0,0,0,0,0,-17.684358,-70.115027,-69.823316,0,0,0,0,0,-1.7855453,-11.625689,0,0,0,0,0,0,0,0,0
96,-95.244472,0,0,0,0,0,0,0,0,-15.70087,-9.4725559,0,0,0,0,0,-17.68278,-70.108772,-69.817087,0,0,0,0,0,-1.785386,-11.624652,0,0,0,0,0,0,0,0,0
97,-95.235975,0,0,0,0,0,0,0,0,-15.699469,-9.4717107,0,0,0,0,0,-17.681203,-70.102517,-69.810857,0,0,0,0,0,-1.7852267,-11.623615,0,0,0,0,0,0,0,0,0
98,-95.227477,0,0,0,0,0,0,0,0,-15.698068,-9.4708656,0,0,0,0,0,-17.679625,-70.096262,-69.804628,0,0,0,0,0,-1.7850674,-11.622578,0,0,0,0,0,0,0,0,0
99,-95.218979,0,0,0,0,0,0,0,0,-15.696667,-9.4700204,0,0,0,0,0,-17.678047,-70.090007,-69.798399,0,0,0,0,0,-1.7849082,-11.62154,0,0,0,0,0,0,0,0,0
100,-95.210482,0,0,0,0,0,0,0,0,-15.695267,-9.4691753,0,0,0,0,0,-17.67647,-70.083752,-69.79217,0,0,0,0,0,-1.7847489,-11.620503,0,0,0,0,0,0,0,0,0
101,-95.201984,0,0,0,0,0,0,0,0,-15.693866,-9.4683302,0,0,0,0,0,-17.674892,-70.077496,-69.785941,0,0,0,0,0,-1.7845896,-11.619466,0,0,0,0,0,0,0,0,0
102,-95.193486,0,0,0,0,0,0,0,0,-15.692465,-9.467485,0,0,0,0,0,-17.673315,-70.071241,-69.779712,0,0,0,0,0,-1.7844303,-11.618429,0,0,0,0,0,0,0,0,0
103,-95.184989,0,0,0,0,0,0,0,0,-15.691064,-9.4666399,0,0,0,0,0,-17.671737,-70.064986,-69.773483,0,0,0,0,0,-1.784271,-11.617392,0,0,0,0,0,0,0,0,0
104,-95.176491,0,0,0,0,0,0,0,0,-15.689663,-9.4657947,0,0,0,0,0,-17.670159,-70.058731,-69.767254,0,0,0,0,0,-1.7841117,-11.616355,0,0,0,0,0,0,0,0,0
105,-95.167993,0,0,0,0,0,0,0,0,-15.688263,-9.4649496,0,0,0,0,0,-17.668582,-70.052476,-69.761025,0,0,0,0,0,-1.7839524,-11.615318,0,0,0,0,0,0,0,0,0
106,-95.159496,0,0,0,0,0,0,0,0,-15.686862,-9.4641045,0,0,0,0,0,-17.667004,-70.046221,-69.754796,0,0,0,0,0,-1.7837931,-11.61428,0,0,0,0,0,0,0,0,0
107,-95.150998,0,0,0,0,0,0,0,0,-15.685461,-9.4632593,0,0,0,0,0,-17.665426,-70.039966,-69.748567,0,0,0,0,0,-1.7836338,-11.613243,0,0,0,0,0,0,0,0,0
