Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa)
58,3.7034943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097073161,0.7749513,2.4401172,0.29834957,0.019007338,0,0,0.027654566,0.55744815,1.1417759,0.20823083,0.0085163512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3.8542681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10102513,0.80650052,2.5394574,0.31049575,0.01978115,0,0,0.028780418,0.58014254,1.188259,0.21670816,0.0088630622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4.0050418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1049771,0.83804973,2.6387975,0.32264192,0.020554962,0,0,0.029906269,0.60283694,1.2347421,0.22518549,0.0092097733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4.1558156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10892906,0.86959894,2.7381377,0.3347881,0.021328774,0,0,0.03103212,0.62553134,1.2812252,0.23366282,0.0095564844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4.3065894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11288103,0.90114816,2.8374778,0.34693428,0.022102586,0,0,0.032157971,0.64822573,1.3277083,0.24214016,0.0099031954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,4.4573632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116833,0.93269737,2.936818,0.35908045,0.022876398,0,0,0.033283822,0.67092013,1.3741914,0.25061749,0.010249907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4.6081369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12078496,0.96424659,3.0361582,0.37122663,0.02365021,0,0,0.034409674,0.69361452,1.4206745,0.25909482,0.010596618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4.7589107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12473693,0.9957958,3.1354983,0.3833728,0.024424022,0,0,0.035535525,0.71630892,1.4671576,0.26757215,0.010943329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,4.9096845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1286889,1.027345,3.2348385,0.39551898,0.025197834,0,0,0.036661376,0.73900331,1.5136407,0.27604948,0.01129004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,5.0604583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13264086,1.0588942,3.3341786,0.40766515,0.025971646,0,0,0.037787227,0.76169771,1.5601238,0.28452681,0.011636751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,5.2112321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13659283,1.0904434,3.4335188,0.41981133,0.026745458,0,0,0.038913078,0.7843921,1.6066069,0.29300414,0.011983462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,5.3620058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1405448,1.1219927,3.5328589,0.43195751,0.02751927,0,0,0.04003893,0.8070865,1.65309,0.30148148,0.012330173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5.5127796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14449677,1.1535419,3.6321991,0.44410368,0.028293082,0,0,0.041164781,0.82978089,1.6995731,0.30995881,0.012676884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
