Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
67,3.1181086,0,0,0,0,0,0,0.40027747,0.52239394,0.078407189,0,0,0,0.24160181,3.1181086,0.68377316,0.061938086,0,0,0,0,0.31927663,0.72146532,0.14018151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3.2204977,0,0,0,0,0,0,0.41342135,0.53954774,0.080981839,0,0,0,0.24953527,3.2204977,0.70622616,0.063971942,0,0,0,0,0.32976069,0.74515602,0.14478464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,3.3228868,0,0,0,0,0,0,0.42656523,0.55670155,0.083556489,0,0,0,0.25746872,3.3228868,0.72867917,0.066005797,0,0,0,0,0.34024475,0.76884672,0.14938777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3.4252758,0,0,0,0,0,0,0.43970911,0.57385535,0.086131139,0,0,0,0.26540218,3.4252758,0.75113217,0.068039653,0,0,0,0,0.35072881,0.79253741,0.1539909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3.5276649,0,0,0,0,0,0,0.45285299,0.59100916,0.08870579,0,0,0,0.27333564,3.5276649,0.77358517,0.070073509,0,0,0,0,0.36121287,0.81622811,0.15859402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3.630054,0,0,0,0,0,0,0.46599686,0.60816297,0.09128044,0,0,0,0.2812691,3.630054,0.79603817,0.072107365,0,0,0,0,0.37169693,0.83991881,0.16319715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3.7324431,0,0,0,0,0,0,0.47914074,0.62531677,0.09385509,0,0,0,0.28920256,3.7324431,0.81849117,0.07414122,0,0,0,0,0.38218099,0.8636095,0.16780028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3.8348321,0,0,0,0,0,0,0.49228462,0.64247058,0.096429741,0,0,0,0.29713602,3.8348321,0.84094418,0.076175076,0,0,0,0,0.39266505,0.8873002,0.17240341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3.9372212,0,0,0,0,0,0,0.5054285,0.65962438,0.099004391,0,0,0,0.30506947,3.9372212,0.86339718,0.078208932,0,0,0,0,0.40314911,0.91099089,0.17700654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4.0396103,0,0,0,0,0,0,0.51857238,0.67677819,0.10157904,0,0,0,0.31300293,4.0396103,0.88585018,0.080242787,0,0,0,0,0.41363317,0.93468159,0.18160967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4.1419993,0,0,0,0,0,0,0.53171625,0.693932,0.10415369,0,0,0,0.32093639,4.1419993,0.90830318,0.082276643,0,0,0,0,0.42411723,0.95837229,0.1862128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4.2443884,0,0,0,0,0,0,0.54486013,0.7110858,0.10672834,0,0,0,0.32886985,4.2443884,0.93075618,0.084310499,0,0,0,0,0.43460129,0.98206298,0.19081592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4.3467775,0,0,0,0,0,0,0.55800401,0.72823961,0.10930299,0,0,0,0.33680331,4.3467775,0.95320919,0.086344355,0,0,0,0,0.44508535,1.0057537,0.19541905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4.4491666,0,0,0,0,0,0,0.57114789,0.74539341,0.11187764,0,0,0,0.34473677,4.4491666,0.97566219,0.08837821,0,0,0,0,0.45556941,1.0294444,0.20002218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4.5515556,0,0,0,0,0,0,0.58429177,0.76254722,0.11445229,0,0,0,0.35267022,4.5515556,0.99811519,0.090412066,0,0,0,0,0.46605347,1.0531351,0.20462531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4.6539447,0,0,0,0,0,0,0.59743564,0.77970103,0.11702694,0,0,0,0.36060368,4.6539447,1.0205682,0.092445922,0,0,0,0,0.47653753,1.0768258,0.20922844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4.7563338,0,0,0,0,0,0,0.61057952,0.79685483,0.11960159,0,0,0,0.36853714,4.7563338,1.0430212,0.094479778,0,0,0,0,0.48702159,1.1005165,0.21383157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4.8587228,0,0,0,0,0,0,0.6237234,0.81400864,0.12217624,0,0,0,0.3764706,4.8587228,1.0654742,0.096513633,0,0,0,0,0.49750565,1.1242072,0.2184347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4.9611119,0,0,0,0,0,0,0.63686728,0.83116244,0.12475089,0,0,0,0.38440406,4.9611119,1.0879272,0.098547489,0,0,0,0,0.50798971,1.1478979,0.22303782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
