Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa)
176,-13.197928,0,0,0,0,-0.061684579,-0.044046175,0,0,0,-0.4751715,-4.733949,0,0,0,0
177,-12.987963,0,0,0,0,-0.060703241,-0.043345445,0,0,0,-0.46761201,-4.6586367,0,0,0,0
178,-12.777997,0,0,0,0,-0.059721902,-0.042644716,0,0,0,-0.46005252,-4.5833245,0,0,0,0
179,-12.568032,0,0,0,0,-0.058740563,-0.041943986,0,0,0,-0.45249303,-4.5080122,0,0,0,0
180,-12.358066,0,0,0,0,-0.057759225,-0.041243257,0,0,0,-0.44493353,-4.4326999,0,0,0,0
181,-12.148101,0,0,0,0,-0.056777886,-0.040542527,0,0,0,-0.43737404,-4.3573876,0,0,0,0
182,-11.938135,0,0,0,0,-0.055796548,-0.039841797,0,0,0,-0.42981455,-4.2820753,0,0,0,0
183,-11.72817,0,0,0,0,-0.054815209,-0.039141068,0,0,0,-0.42225505,-4.206763,0,0,0,0
184,-11.518204,0,0,0,0,-0.05383387,-0.038440338,0,0,0,-0.41469556,-4.1314507,0,0,0,0
185,-11.308238,0,0,0,0,-0.052852532,-0.037739608,0,0,0,-0.40713607,-4.0561384,0,0,0,0
186,-11.098273,0,0,0,0,-0.051871193,-0.037038879,0,0,0,-0.39957658,-3.9808261,0,0,0,0
187,-10.888307,0,0,0,0,-0.050889855,-0.036338149,0,0,0,-0.39201708,-3.9055138,0,0,0,0
188,-10.678342,0,0,0,0,-0.049908516,-0.03563742,0,0,0,-0.38445759,-3.8302015,0,0,0,0
189,-10.468376,0,0,0,0,-0.048927177,-0.03493669,0,0,0,-0.3768981,-3.7548893,0,0,0,0
190,-10.258411,0,0,0,0,-0.047945839,-0.03423596,0,0,0,-0.3693386,-3.679577,0,0,0,0
191,-10.048445,0,0,0,0,-0.0469645,-0.033535231,0,0,0,-0.36177911,-3.6042647,0,0,0,0
192,-9.8384796,0,0,0,0,-0.045983161,-0.032834501,0,0,0,-0.35421962,-3.5289524,0,0,0,0
193,-9.6285141,0,0,0,0,-0.045001823,-0.032133771,0,0,0,-0.34666012,-3.4536401,0,0,0,0
194,-9.4185485,0,0,0,0,-0.044020484,-0.031433042,0,0,0,-0.33910063,-3.3783278,0,0,0,0
195,-9.208583,0,0,0,0,-0.043039146,-0.030732312,0,0,0,-0.33154114,-3.3030155,0,0,0,0
196,-8.9986174,0,0,0,0,-0.042057807,-0.030031583,0,0,0,-0.32398165,-3.2277032,0,0,0,0
197,-8.7886519,0,0,0,0,-0.041076468,-0.029330853,0,0,0,-0.31642215,-3.1523909,0,0,0,0
198,-8.5786863,0,0,0,0,-0.04009513,-0.028630123,0,0,0,-0.30886266,-3.0770786,0,0,0,0
199,-8.3687208,0,0,0,0,-0.039113791,-0.027929394,0,0,0,-0.30130317,-3.0017664,0,0,0,0
200,-8.1587552,0,0,0,0,-0.038132453,-0.027228664,0,0,0,-0.29374367,-2.9264541,0,0,0,0
201,-7.9487897,0,0,0,0,-0.037151114,-0.026527934,0,0,0,-0.28618418,-2.8511418,0,0,0,0
202,-7.7388241,0,0,0,0,-0.036169775,-0.025827205,0,0,0,-0.27862469,-2.7758295,0,0,0,0
203,-7.5288586,0,0,0,0,-0.035188437,-0.025126475,0,0,0,-0.27106519,-2.7005172,0,0,0,0
204,-7.318893,0,0,0,0,-0.034207098,-0.024425746,0,0,0,-0.2635057,-2.6252049,0,0,0,0
205,-7.1089275,0,0,0,0,-0.03322576,-0.023725016,0,0,0,-0.25594621,-2.5498926,0,0,0,0
206,-6.8989619,0,0,0,0,-0.032244421,-0.023024286,0,0,0,-0.24838672,-2.4745803,0,0,0,0
207,-6.6889964,0,0,0,0,-0.031263082,-0.022323557,0,0,0,-0.24082722,-2.399268,0,0,0,0
208,-6.4790308,0,0,0,0,-0.030281744,-0.021622827,0,0,0,-0.23326773,-2.3239557,0,0,0,0
209,-6.2690653,0,0,0,0,-0.029300405,-0.020922097,0,0,0,-0.22570824,-2.2486435,0,0,0,0
210,-6.0590997,0,0,0,0,-0.028319067,-0.020221368,0,0,0,-0.21814874,-2.1733312,0,0,0,0
211,-5.8491341,0,0,0,0,-0.027337728,-0.019520638,0,0,0,-0.21058925,-2.0980189,0,0,0,0
212,-5.6391686,0,0,0,0,-0.026356389,-0.018819909,0,0,0,-0.20302976,-2.0227066,0,0,0,0
213,-5.429203,0,0,0,0,-0.025375051,-0.018119179,0,0,0,-0.19547027,-1.9473943,0,0,0,0
214,-5.2192375,0,0,0,0,-0.024393712,-0.017418449,0,0,0,-0.18791077,-1.872082,0,0,0,0
215,-5.0092719,0,0,0,0,-0.023412374,-0.01671772,0,0,0,-0.18035128,-1.7967697,0,0,0,0
216,-4.7993064,0,0,0,0,-0.022431035,-0.01601699,0,0,0,-0.17279179,-1.7214574,0,0,0,0
217,-4.5893408,0,0,0,0,-0.021449696,-0.01531626,0,0,0,-0.16523229,-1.6461451,0,0,0,0
218,-4.3793753,0,0,0,0,-0.020468358,-0.014615531,0,0,0,-0.1576728,-1.5708328,0,0,0,0
219,-4.1694097,0,0,0,0,-0.019487019,-0.013914801,0,0,0,-0.15011331,-1.4955205,0,0,0,0
220,-3.9594442,0,0,0,0,-0.018505681,-0.013214072,0,0,0,-0.14255381,-1.4202083,0,0,0,0
221,-3.7494786,0,0,0,0,-0.017524342,-0.012513342,0,0,0,-0.13499432,-1.344896,0,0,0,0
